Sample Id	CDKN2A: Putative copy-number alterations from GISTIC	CDKN2A: mRNA expression (RNA Seq V2 RSEM)	Copy Number Alterations
TCGA-2J-AAB1-01	Deep Deletion	67.3171	CDKN2A: Deep Deletion
TCGA-2J-AAB6-01	Deep Deletion	22.807	CDKN2A: Deep Deletion
TCGA-2J-AABA-01	Deep Deletion	25.6772	CDKN2A: Deep Deletion
TCGA-2J-AABO-01	Deep Deletion	29.6474	CDKN2A: Deep Deletion
TCGA-2J-AABT-01	Deep Deletion	32.5407	CDKN2A: Deep Deletion
TCGA-2J-AABU-01	Deep Deletion	26.2009	CDKN2A: Deep Deletion
TCGA-2L-AAQI-01	Deep Deletion	31.5804	CDKN2A: Deep Deletion
TCGA-2L-AAQL-01	Deep Deletion	148.1273	CDKN2A: Deep Deletion
TCGA-3A-A9IZ-01	Deep Deletion	8.1784	CDKN2A: Deep Deletion
TCGA-3A-A9J0-01	Deep Deletion	29.5749	CDKN2A: Deep Deletion
TCGA-F2-A44G-01	Deep Deletion	3.8631	CDKN2A: Deep Deletion
TCGA-FB-A5VM-01	Deep Deletion	28.169	CDKN2A: Deep Deletion
TCGA-FB-AAPP-01	Deep Deletion	0.6955	CDKN2A: Deep Deletion
TCGA-FB-AAPU-01	Deep Deletion	9.7619	CDKN2A: Deep Deletion
TCGA-FB-AAPZ-01	Deep Deletion	20.9993	CDKN2A: Deep Deletion
TCGA-FB-AAQ0-01	Deep Deletion	10.6574	CDKN2A: Deep Deletion
TCGA-FB-AAQ3-01	Deep Deletion	63.8283	CDKN2A: Deep Deletion
TCGA-H8-A6C1-01	Deep Deletion	24.2457	CDKN2A: Deep Deletion
TCGA-HV-A5A3-01	Deep Deletion	4.672	CDKN2A: Deep Deletion
TCGA-HV-A5A4-01	Deep Deletion	37.6142	CDKN2A: Deep Deletion
TCGA-HV-AA8V-01	Deep Deletion	26.1882	CDKN2A: Deep Deletion
TCGA-HZ-7919-01	Deep Deletion	17.8246	CDKN2A: Deep Deletion
TCGA-HZ-7922-01	Deep Deletion	13.7045	CDKN2A: Deep Deletion
TCGA-HZ-8315-01	Deep Deletion	27.641	CDKN2A: Deep Deletion
TCGA-HZ-8636-01	Deep Deletion	36.3541	CDKN2A: Deep Deletion
TCGA-HZ-A49I-01	Deep Deletion	49.5118	CDKN2A: Deep Deletion
TCGA-HZ-A4BK-01	Deep Deletion	28.4474	CDKN2A: Deep Deletion
TCGA-HZ-A77Q-01	Deep Deletion	28.2021	CDKN2A: Deep Deletion
TCGA-IB-7646-01	Deep Deletion	11.1675	CDKN2A: Deep Deletion
TCGA-IB-7887-01	Deep Deletion	24.1745	CDKN2A: Deep Deletion
TCGA-IB-7890-01	Deep Deletion	17.423	CDKN2A: Deep Deletion
TCGA-IB-7893-01	Deep Deletion	44.6027	CDKN2A: Deep Deletion
TCGA-IB-A6UF-01	Deep Deletion	17.828	CDKN2A: Deep Deletion
TCGA-IB-A7LX-01	Deep Deletion	12.8578	CDKN2A: Deep Deletion
TCGA-IB-AAUO-01	Deep Deletion	53.6146	CDKN2A: Deep Deletion
TCGA-IB-AAUU-01	Deep Deletion	18.3213	CDKN2A: Deep Deletion
TCGA-LB-A7SX-01	Deep Deletion	18.0912	CDKN2A: Deep Deletion
TCGA-LB-A8F3-01	Deep Deletion	69.0355	CDKN2A: Deep Deletion
TCGA-PZ-A5RE-01	Deep Deletion	41.6421	CDKN2A: Deep Deletion
TCGA-RB-A7B8-01	Deep Deletion	47.1924	CDKN2A: Deep Deletion
TCGA-S4-A8RM-01	Deep Deletion	17.0478	CDKN2A: Deep Deletion
TCGA-S4-A8RP-01	Deep Deletion	70.4076	CDKN2A: Deep Deletion
TCGA-US-A779-01	Deep Deletion	15.1139	CDKN2A: Deep Deletion
TCGA-US-A77E-01	Deep Deletion	33.1878	CDKN2A: Deep Deletion
TCGA-XD-AAUI-01	Deep Deletion	63.3977	CDKN2A: Deep Deletion
TCGA-XD-AAUL-01	Deep Deletion	14.1372	CDKN2A: Deep Deletion
TCGA-XN-A8T3-01	Deep Deletion	27.4262	CDKN2A: Deep Deletion
TCGA-YH-A8SY-01	Deep Deletion	57.243	CDKN2A: Deep Deletion
TCGA-2J-AABE-01	Shallow Deletion	53.0291	CDKN2A: Shallow Deletion
TCGA-2J-AABF-01	Shallow Deletion	223.9745	CDKN2A: Shallow Deletion
TCGA-2J-AABH-01	Shallow Deletion	618.9024	CDKN2A: Shallow Deletion
TCGA-2J-AABI-01	Shallow Deletion	1469.1582	CDKN2A: Shallow Deletion
TCGA-2L-AAQA-01	Shallow Deletion	446.8128	CDKN2A: Shallow Deletion
TCGA-2L-AAQE-01	Shallow Deletion	1417.0528	CDKN2A: Shallow Deletion
TCGA-2L-AAQJ-01	Shallow Deletion	1925.2475	CDKN2A: Shallow Deletion
TCGA-3A-A9I5-01	Shallow Deletion	234.6939	CDKN2A: Shallow Deletion
TCGA-3A-A9I9-01	Shallow Deletion	100.2833	CDKN2A: Shallow Deletion
TCGA-3A-A9IB-01	Shallow Deletion	2015.1164	CDKN2A: Shallow Deletion
TCGA-3A-A9IH-01	Shallow Deletion	1794.5988	CDKN2A: Shallow Deletion
TCGA-3A-A9IU-01	Shallow Deletion	328.6467	CDKN2A: Shallow Deletion
TCGA-3A-A9IX-01	Shallow Deletion	264.2164	CDKN2A: Shallow Deletion
TCGA-3E-AAAZ-01	Shallow Deletion	138.3695	CDKN2A: Shallow Deletion
TCGA-F2-6879-01	Shallow Deletion	309.1873	CDKN2A: Shallow Deletion
TCGA-F2-A44H-01	Shallow Deletion	27.9642	CDKN2A: Shallow Deletion
TCGA-F2-A8YN-01	Shallow Deletion	1117.0681	CDKN2A: Shallow Deletion
TCGA-FB-A545-01	Shallow Deletion	1859.1976	CDKN2A: Shallow Deletion
TCGA-FB-A78T-01	Shallow Deletion	1251.7686	CDKN2A: Shallow Deletion
TCGA-FB-A7DR-01	Shallow Deletion	13.2254	CDKN2A: Shallow Deletion
