Sample Id	MYC: Putative copy-number alterations from GISTIC	MYC: mRNA expression (RNA Seq V2 RSEM)	Copy Number Alterations
TCGA-3A-A9J0-01	Shallow Deletion	911.0114	MYC: Shallow Deletion
TCGA-FB-A7DR-01	Shallow Deletion	1242.7317	MYC: Shallow Deletion
TCGA-IB-AAUU-01	Shallow Deletion	1096.2931	MYC: Shallow Deletion
TCGA-LB-A8F3-01	Shallow Deletion	974.1117	MYC: Shallow Deletion
TCGA-2J-AAB1-01	Diploid	1516.5854	MYC: Diploid
TCGA-2J-AAB6-01	Diploid	429.8246	MYC: Diploid
TCGA-2J-AAB8-01	Diploid	1103.6428	MYC: Diploid
TCGA-2J-AAB9-01	Diploid	1760.9861	MYC: Diploid
TCGA-2J-AABA-01	Diploid	1704.7127	MYC: Diploid
TCGA-2J-AABE-01	Diploid	1094.4967	MYC: Diploid
TCGA-2J-AABI-01	Diploid	1855.9507	MYC: Diploid
TCGA-2J-AABK-01	Diploid	1177.988	MYC: Diploid
TCGA-2J-AABO-01	Diploid	1120.9936	MYC: Diploid
TCGA-2J-AABR-01	Diploid	2329.0043	MYC: Diploid
TCGA-2J-AABT-01	Diploid	1672.7159	MYC: Diploid
TCGA-2J-AABU-01	Diploid	1225.9825	MYC: Diploid
TCGA-2J-AABV-01	Diploid	3592.126	MYC: Diploid
TCGA-2L-AAQA-01	Diploid	1656.5453	MYC: Diploid
TCGA-2L-AAQL-01	Diploid	649.4315	MYC: Diploid
TCGA-3A-A9I7-01	Diploid	729.5013	MYC: Diploid
TCGA-3A-A9I9-01	Diploid	740.5099	MYC: Diploid
TCGA-3A-A9IC-01	Diploid	855.8025	MYC: Diploid
TCGA-3A-A9IU-01	Diploid	733.304	MYC: Diploid
TCGA-3E-AAAY-01	Diploid	1689.4198	MYC: Diploid
TCGA-3E-AAAZ-01	Diploid	3150.3366	MYC: Diploid
TCGA-F2-6880-01	Diploid	1563.6698	MYC: Diploid
TCGA-F2-7273-01	Diploid	1874.9168	MYC: Diploid
TCGA-F2-7276-01	Diploid	2256.1956	MYC: Diploid
TCGA-F2-A44G-01	Diploid	1663.3554	MYC: Diploid
TCGA-F2-A44H-01	Diploid	1281.8792	MYC: Diploid
TCGA-F2-A8YN-01	Diploid	1304.0187	MYC: Diploid
TCGA-FB-A4P5-01	Diploid	1665.5166	MYC: Diploid
TCGA-FB-AAPQ-01	Diploid	797.8246	MYC: Diploid
TCGA-FB-AAPS-01	Diploid	1453.7931	MYC: Diploid
TCGA-FB-AAPY-01	Diploid	1336.403	MYC: Diploid
TCGA-H6-8124-01	Diploid	1575.9886	MYC: Diploid
TCGA-H6-A45N-01	Diploid	1576.7732	MYC: Diploid
TCGA-HV-A5A4-01	Diploid	1931.7571	MYC: Diploid
TCGA-HV-A5A5-01	Diploid	1305.6037	MYC: Diploid
TCGA-HV-A7OL-01	Diploid	1298.8293	MYC: Diploid
TCGA-HV-A7OP-01	Diploid	934.6272	MYC: Diploid
TCGA-HV-AA8X-01	Diploid	2120.1643	MYC: Diploid
TCGA-HZ-7919-01	Diploid	1203.7551	MYC: Diploid
TCGA-HZ-7920-01	Diploid	1410.9535	MYC: Diploid
TCGA-HZ-7923-01	Diploid	2165.3413	MYC: Diploid
TCGA-HZ-7924-01	Diploid	1071.8204	MYC: Diploid
TCGA-HZ-7926-01	Diploid	1200.5659	MYC: Diploid
TCGA-HZ-8001-01	Diploid	1556.6462	MYC: Diploid
TCGA-HZ-8002-01	Diploid	1580.0357	MYC: Diploid
TCGA-HZ-8003-01	Diploid	1450.9701	MYC: Diploid
TCGA-HZ-8317-01	Diploid	2881.6108	MYC: Diploid
TCGA-HZ-8519-01	Diploid	2751.3025	MYC: Diploid
TCGA-HZ-8638-01	Diploid	545.9434	MYC: Diploid
TCGA-HZ-A49G-01	Diploid	1433.2604	MYC: Diploid
TCGA-HZ-A49H-01	Diploid	3855.9158	MYC: Diploid
TCGA-HZ-A49I-01	Diploid	994.0861	MYC: Diploid
TCGA-HZ-A4BH-01	Diploid	1866.5707	MYC: Diploid
TCGA-HZ-A4BK-01	Diploid	1600.2893	MYC: Diploid
TCGA-HZ-A77P-01	Diploid	1764.1871	MYC: Diploid
TCGA-HZ-A77Q-01	Diploid	2092.2444	MYC: Diploid
TCGA-HZ-A8P0-01	Diploid	685.5213	MYC: Diploid
TCGA-IB-7644-01	Diploid	2313.1902	MYC: Diploid
TCGA-IB-7645-01	Diploid	2434.5114	MYC: Diploid
TCGA-IB-7651-01	Diploid	2541.4065	MYC: Diploid
TCGA-IB-7885-01	Diploid	1185.1976	MYC: Diploid
TCGA-IB-7887-01	Diploid	1038.8018	MYC: Diploid
TCGA-IB-7888-01	Diploid	2153.5498	MYC: Diploid
TCGA-IB-7891-01	Diploid	1504.0206	MYC: Diploid
TCGA-IB-7897-01	Diploid	2790.7481	MYC: Diploid
