CEACAM5,,,,ADM
CLDN18,,,,MUC16
S100P,,,,MUC4
TMEM45B,,,,MUC1
SPINK1,,,,CLPS
CEACAM6,,,,CPA1
MUC13,,,,IFITM1
LCN2,,,,ONECUT2
TFF2,,,,AMIGO2
ELF3,,,,TGFB1
PRSS3,,,,GNB2L1
AGR2,,,,SPP1
MUC17,,,,CLPS
CLDN4,,,,GNB2L1
TFF1,,,,TM4SF1
OCLN,,,,GTPBP6
EPS8L1,,,,KRT18
CLDN7,,,,PRDX2
TACSTD2,,,,AP2M1
C1QB,,,,PDCD4
MS4A4A,,,,CISD3
MS4A6A,,,,BRIX1
C1QC,,,,NSD1
MS4A7,,,,CPA1
IGSF6,,,,HNRNPL
FCGR1A,,,,OCIAD1
RAB31,,,,CD63
VSIG4,,,,XRCC5
CD302,,,,SLC25A3
MRC1L1,,,,ADH5
C1orf54,,,,MYL6
MNDA,,,,PLSCR1
MARCH1,,,,SLC12A2
HCK,,,,CD81
CPVL,,,,ONECUT2
WDFY4,,,,ITGA2
TREM2,,,,FOXP1
OLR1,,,,OSMR
AIF1,,,,SLC25A37
SLC8A1,,,,ADAM28
EPHB4,,,,LAPTM4B
LAMB1,,,,VPS13A
FRMD6,,,,ERP44
CNTNAP2,,,,TM9SF3
EDIL3,,,,CCPG1
HMGA2,,,,GCNT3
FERMT1,,,,PRSS8
MMP28,,,,RNF213
PTRF,,,,TMC4
MAP1B,,,,APOL6
MFI2,,,,RER1
DCBLD2,,,,PTPRF
C15orf52,,,,
AMIGO2,,,,
GPR97,,,,
KLRC2,,,,
TMIGD2,,,,
TNFRSF18,,,,
KRT81,,,,
SH2D1B,,,,
HOPX,,,,
COL23A1,,,,
NCR1,,,,
IL2RB,,,,
TXK,,,,
VIM,,,,
SNAI2,,,,
SPP1,,,,
