Sample Id	TP53: Putative copy-number alterations from GISTIC	TP53: mRNA expression (RNA Seq V2 RSEM)	Copy Number Alterations
TCGA-IB-7891-01	Deep Deletion	1204.2457	TP53: Deep Deletion
TCGA-2J-AAB4-01	Shallow Deletion	1044.1919	TP53: Shallow Deletion
TCGA-2J-AABE-01	Shallow Deletion	1047.0171	TP53: Shallow Deletion
TCGA-2J-AABH-01	Shallow Deletion	562.7178	TP53: Shallow Deletion
TCGA-2J-AABI-01	Shallow Deletion	493.106	TP53: Shallow Deletion
TCGA-2J-AABK-01	Shallow Deletion	1336.1995	TP53: Shallow Deletion
TCGA-2J-AABO-01	Shallow Deletion	1176.2821	TP53: Shallow Deletion
TCGA-2J-AABT-01	Shallow Deletion	588.8611	TP53: Shallow Deletion
TCGA-2J-AABU-01	Shallow Deletion	873.3624	TP53: Shallow Deletion
TCGA-2L-AAQA-01	Shallow Deletion	1019.1032	TP53: Shallow Deletion
TCGA-2L-AAQE-01	Shallow Deletion	956.4411	TP53: Shallow Deletion
TCGA-2L-AAQI-01	Shallow Deletion	1178.6769	TP53: Shallow Deletion
TCGA-2L-AAQJ-01	Shallow Deletion	1113.3663	TP53: Shallow Deletion
TCGA-2L-AAQL-01	Shallow Deletion	990.3184	TP53: Shallow Deletion
TCGA-3A-A9I9-01	Shallow Deletion	955.8074	TP53: Shallow Deletion
TCGA-3A-A9IB-01	Shallow Deletion	901.3403	TP53: Shallow Deletion
TCGA-3A-A9IC-01	Shallow Deletion	612.8395	TP53: Shallow Deletion
TCGA-3A-A9IH-01	Shallow Deletion	900.9776	TP53: Shallow Deletion
TCGA-3A-A9IU-01	Shallow Deletion	477.1529	TP53: Shallow Deletion
TCGA-3A-A9IZ-01	Shallow Deletion	588.8476	TP53: Shallow Deletion
TCGA-3A-A9J0-01	Shallow Deletion	504.357	TP53: Shallow Deletion
TCGA-F2-6879-01	Shallow Deletion	1149.8822	TP53: Shallow Deletion
TCGA-F2-A44G-01	Shallow Deletion	613.1347	TP53: Shallow Deletion
TCGA-F2-A7TX-01	Shallow Deletion	1318.3817	TP53: Shallow Deletion
TCGA-F2-A8YN-01	Shallow Deletion	390.8966	TP53: Shallow Deletion
TCGA-FB-A545-01	Shallow Deletion	963.6639	TP53: Shallow Deletion
